
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 63600 | Cost: 2.289292
Step Index: 63700 | Cost: 2.301203
Step Index: 63800 | Cost: 2.306758
Step Index: 63900 | Cost: 2.308267
Step Index: 64000 | Cost: 2.293365
Step Index: 64100 | Cost: 2.314817
Step Index: 64200 | Cost: 2.298177
Step Index: 64300 | Cost: 2.291555
Step Index: 64400 | Cost: 2.297547
Step Index: 64500 | Cost: 2.312263
Step Index: 64600 | Cost: 2.297489
Step Index: 64700 | Cost: 2.297975
Step Index: 64800 | Cost: 2.305280
Step Index: 64900 | Cost: 2.297282
Step Index: 65000 | Cost: 2.288622
Step Index: 65100 | Cost: 2.296732
Step Index: 65200 | Cost: 2.298406
Step Index: 65300 | Cost: 2.292015
Step Index: 65400 | Cost: 2.298086
Step Index: 65500 | Cost: 2.288617
Step Index: 65600 | Cost: 2.311638
Step Index: 65700 | Cost: 2.293105
Step Index: 65800 | Cost: 2.302743
Step Index: 65900 | Cost: 2.305454
Step Index: 66000 | Cost: 2.301272
Step Index: 66100 | Cost: 2.318617
Step Index: 66200 | Cost: 2.304423
Step Index: 66300 | Cost: 2.296495
Step Index: 66400 | Cost: 2.314396
Step Index: 66500 | Cost: 2.296186
Step Index: 66600 | Cost: 2.304824
Step Index: 66700 | Cost: 2.308140
Step Index: 66800 | Cost: 2.313006
Step Index: 66900 | Cost: 2.309288
Step Index: 67000 | Cost: 2.306539
Step Index: 67100 | Cost: 2.300646
Step Index: 67200 | Cost: 2.297873
Step Index: 67300 | Cost: 2.304787
Step Index: 67400 | Cost: 2.311395
Step Index: 67500 | Cost: 2.304681
Step Index: 67600 | Cost: 2.297473
Step Index: 67700 | Cost: 2.305886
Step Index: 67800 | Cost: 2.303502
Step Index: 67900 | Cost: 2.297426
Step Index: 68000 | Cost: 2.290236
Step Index: 68100 | Cost: 2.309357
Step Index: 68200 | Cost: 2.293029
Step Index: 68300 | Cost: 2.296833
Step Index: 68400 | Cost: 2.302994
Step Index: 68500 | Cost: 2.312366
Step Index: 68600 | Cost: 2.303151
Step Index: 68700 | Cost: 2.297655
Step Index: 68800 | Cost: 2.306188
Step Index: 68900 | Cost: 2.317114
Step Index: 69000 | Cost: 2.301790
Step Index: 69100 | Cost: 2.294372
