
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.07
Step Index: 64300 | Cost: 2.090611
Step Index: 64400 | Cost: 1.953742
Step Index: 64500 | Cost: 1.927395
Step Index: 64600 | Cost: 2.038736
Step Index: 64700 | Cost: 1.929552
Step Index: 64800 | Cost: 1.890851
Step Index: 64900 | Cost: 2.008959
Step Index: 65000 | Cost: 1.958442
Step Index: 65100 | Cost: 1.931323
Step Index: 65200 | Cost: 2.226287
Step Index: 65300 | Cost: 2.035021
Step Index: 65400 | Cost: 2.022187
Step Index: 65500 | Cost: 1.916876
Step Index: 65600 | Cost: 1.928075
Step Index: 65700 | Cost: 1.872736
Step Index: 65800 | Cost: 2.129759
Step Index: 65900 | Cost: 1.832617
Step Index: 66000 | Cost: 1.976562
Step Index: 66100 | Cost: 2.060601
Step Index: 66200 | Cost: 1.905172
Step Index: 66300 | Cost: 2.318129
Step Index: 66400 | Cost: 2.126441
Step Index: 66500 | Cost: 1.986239
Step Index: 66600 | Cost: 2.006739
Step Index: 66700 | Cost: 1.956705
Step Index: 66800 | Cost: 2.244323
Step Index: 66900 | Cost: 2.122728
Step Index: 67000 | Cost: 2.024808
Step Index: 67100 | Cost: 2.059359
Step Index: 67200 | Cost: 2.061264
Step Index: 67300 | Cost: 1.914538
Step Index: 67400 | Cost: 2.068642
Step Index: 67500 | Cost: 2.034160
Step Index: 67600 | Cost: 1.972329
Step Index: 67700 | Cost: 1.949433
Step Index: 67800 | Cost: 2.039628
Step Index: 67900 | Cost: 2.114905
Step Index: 68000 | Cost: 2.093805
Step Index: 68100 | Cost: 2.020129
Step Index: 68200 | Cost: 1.994585
Step Index: 68300 | Cost: 1.897134
Step Index: 68400 | Cost: 1.937277
Step Index: 68500 | Cost: 2.064410
Step Index: 68600 | Cost: 1.994792
Step Index: 68700 | Cost: 1.977458
Step Index: 68800 | Cost: 1.874576
Step Index: 68900 | Cost: 1.977826
Step Index: 69000 | Cost: 1.955656
Step Index: 69100 | Cost: 2.088180
